births,UNRATE,PCE,AAA,BAA,INDPRO,PSAVERT,HOUST,CIVPART,EXUSEU,BAA10YM,UMCSENT,PPIACO,BUSLOANS,TOTALSA,DSPIC96,MICH,TCU,DPSACBM027NBOG,PI,DGORDER,DSPI,JTSJOL,USEPUINDXM,TTLCONS,PMSAVE,WPSFD49207,BUSINV
-0.047053463,0,0.254076516,0.010228168,0.00718776,0.394205806,0.225746882,-0.111736559,-0.433192799,0.317169852,0.066183833,-0.07813812,0.417355324,0.285011149,-0.150968651,0.155905874,0.262474738,0.21940067,0.184511316,0.262493729,0.192688251,0.270737033,0.029524278,-0.084124926,0.209908746,0.297671619,0.414807494,0.232785943
0.108424586,-0.13055866,0.235733644,0.042232867,0.032137925,0.288810802,0.109408525,-0.143689597,-0.216145417,0.249177042,-0.085590393,-0.049938541,0.395557475,0.264142365,-0.096710246,0.121332208,0.262474738,0.155749885,0.172690088,0.205814905,0.069662662,0.215242615,-0.070593203,0.193331379,0.35426416,0.13726732,0.372425359,0.278368442
0.124855003,0.191462461,0.168354257,0.373928825,0.384235321,0.223342258,-0.053035117,-0.060927814,-0.216145417,0.181975726,-0.149738803,-0.18954647,0.32007807,0.279188577,-0.31260534,0.08032056,0.258036348,0.066416948,0.165288873,0.146120811,0.053004627,0.15042442,0.342079102,0.166754856,0.373482865,0.030371808,0.247507462,0.343984891
0.104037016,0.341344746,0.167454727,0.329353332,0.345627074,0.117525735,-0.112451519,-0.263169602,-0.141935216,0.235695099,0,0.023835611,0.268071417,0.293729895,-0.42033001,0.078541127,0.258036348,0.005126322,0.137003673,0.125672668,0.178147909,0.136352928,-0.170898777,-0.120167044,0.226297033,-0.061947006,0.216668503,0.295094747
0.035711631,0.112451519,0.219588141,0.373928825,0.345627074,0.116422513,-0.262474738,-0.363330676,-0.247507462,0.163252859,0.478837127,-0.34461447,0.107468566,0.312021545,-0.134888004,0.061115822,0.098706326,0.05265858,0.207244906,0.10045248,0.180803405,0.114322969,-0.200514178,0.40188098,0.172348445,-0.212558798,0.10513709,0.235790692
0.269266333,0.216145417,0.260688857,0.183163154,0.140576433,0.147803845,-0.165882429,-0.454264402,-0.066183833,0.261411652,0.490889865,-0.262474738,0.086874459,0.345301891,-0.046668692,0.123864689,0,0.398216336,0.220612399,0.138586297,-0.051742796,0.159765604,-0.034646964,0.42534775,0.09857081,-0.119319322,0.126357825,0.231832423
0.423568642,0.165882429,0.251188153,0.108481055,0.052647433,0.044064694,-0.203098571,-0.257840739,-0.141935216,0.340871377,0.434837372,-0.257889726,0.091872791,0.341815961,-0.053139131,0.080308424,-0.033206752,-0.044920187,0.361470291,0.179401502,0.029173131,0.208087699,-0.061771518,0.221383017,-0.005843559,-0.150744974,0.226847357,0.229866037
-0.2190948,0.112451519,0.286577676,-0.077425844,-0.024697442,0.206100865,-0.229436988,-0.285364919,0,0.422116489,0.347739311,-0.332139808,0.284786606,0.300633879,-0.107468566,-0.035281386,0.175281858,0.318026354,0.455132994,0.32901328,0.037766537,0.343865978,-0.050200618,0.238850009,-0.323519908,-0.255275373,0.397480757,0.228121222
0.48808415,0.341344746,0.250988343,-0.051443957,0.165882429,0.441885033,-0.047758426,-0.317878743,0,0.380002642,0.399780709,-0.358896987,0.321306096,0.247926676,-0.313255583,0.397623907,0.107468566,0.21457409,0.460893974,0.333861539,0.459866465,0.328229465,-0.327406365,0.255082803,-0.456591297,-0.022041768,0.418501387,0.275928446
-0.276707476,0.341344746,0.226698569,-0.176503636,0.003873165,0.153622209,0.059617692,-0.215931189,0.40878878,0.295158443,0.396118462,-0.177047871,0.439112784,0.230115677,-0.387421905,0.47051586,0.072137292,0.071042051,0.295061793,0.352923788,0.306391833,0.333254637,-0.067521681,0.377083404,-0.469929248,0.078545538,0.376266094,0.348310169
-0.200113118,0.341344746,0.133059633,-0.033516368,0.210329587,-0.009007986,0.283982554,-0.175396883,0,0.193065216,0.347942698,-0.295663044,0.332906415,0.190880944,-0.337098767,0.298299901,0.262474738,-0.13928029,0.204428475,0.295593786,0.147195737,0.269154517,-0.499793557,0.129955753,-0.407480504,0.284023294,0.239041788,0.318313161
-0.009457866,0.312968601,0.154316718,-0.064309574,0.308114117,-0.100830837,0.2398416,-0.191853536,0.5,0.265321752,0.316825495,-0.281147241,0.388892095,0.169523813,-0.352288843,0.188923415,0.494936005,-0.17792536,0.17451662,0.238038415,0.032336215,0.213337813,-0.486555132,0.115035019,-0.239449683,0.239916793,0.22374966,0.221657533
-0.023927226,0.207279533,0.175936855,-0.036962222,0.382027882,-0.339220353,-0.084837871,-0.153124889,-0.5,0.263839775,0.26557731,-0.364333939,0.361026347,0.174496319,-0.381233135,-0.099470734,0.499998469,-0.36104044,0.145995331,0.179722202,-0.124815054,0.151216776,-0.498312254,0.006262671,-0.17560796,-0.04211975,0.179940516,0.187039764
-0.072047085,0.341344746,0.233818979,0.027491466,0.233102122,-0.427201773,0.5,-0.165751459,0.247507462,0.230198099,0.126493573,-0.290417395,0.383101636,0.180864136,-0.272303204,0.499999999,0.498650102,-0.438939765,0.100469948,0.461376692,-0.129308418,0.474552265,-0.244535329,-0.098185301,-0.090186344,0.5,0.210410777,0.15503192
-0.14821698,0.360669753,0.320575205,0.188367426,0.244168359,-0.438674001,0.452209648,-0.054130132,0.13055866,0.163420806,0.06121366,-0.323355775,0.325933061,0.155879526,-0.238905326,0.487670432,0.334332547,-0.452594405,0.113861598,0.337552062,-0.122228219,0.388502995,-0.317755379,-0.121577082,-0.100229598,0.466284976,0.292359121,0.157394166
-0.110388265,0.390795407,0.353536933,0.175855472,0.218446013,-0.329310256,0.230849625,-0.189013333,0.191462461,0.20242821,0.070346944,-0.170969778,0.349139801,0.152542613,-0.310728581,0.021801808,0.234818171,-0.346041019,0.0947124,0.242437693,-0.330438009,0.316152181,-0.278962997,0.119020509,-0.146780134,0.258514329,0.395516368,0.188877831
0.153941862,0.415434278,0.218154289,0.137159759,0.146465785,-0.36525493,-0.011080305,-0.36041634,0.098706326,-0.042428994,0.094983948,-0.098034882,0.168944904,0.155040997,-0.172938155,-0.343956535,0.103161353,-0.386181606,0.073005976,0.086555243,-0.415315654,0.129272199,-0.207397574,-0.14106927,-0.338632292,0.014057175,0.262260319,0.226192807
-0.072052074,0.330096194,0.077654357,0.166901247,0.214770585,-0.468614827,0.197117854,-0.36351677,-0.191462461,-0.206511213,0.261624687,0.062973601,0.087419954,0.181782941,-0.287727968,-0.153585122,-0.031628878,-0.483744895,0.329782,0.099433148,-0.428644112,0.154254501,-0.295798065,0.499696972,-0.382117824,0.192963694,0.191462461,0.16194328
-0.150109557,0.297671619,-0.080588202,0.496705982,0.499515101,-0.415938552,0.28975042,-0.35804868,-0.191462461,-0.384139174,0.499583935,-0.182240278,-0.100208189,0.312248148,-0.437269388,0.176151542,-0.102568113,-0.440197341,0.476933432,0.050814857,-0.435100614,0.088527387,-0.271281272,0.498465439,-0.420897917,0.293271628,0.030454323,-0.000834856
-0.142255878,0.242153889,-0.287668624,0.476191421,0.499989427,-0.364434428,0.281084785,-0.333575385,-0.341344746,-0.434807726,0.499981463,-0.146870251,-0.26557731,0.358191444,-0.37471012,0.380308651,-0.289554972,-0.381792187,0.495739489,-0.077613051,-0.431680786,-0.025520313,-0.248166815,0.194514629,-0.35842166,0.280740715,-0.167951247,-0.205796577
-0.433198446,0.306443518,-0.376810836,-0.492420781,0.476425673,-0.306889848,0.234709267,-0.352830072,-0.394350226,-0.280855039,0.498445534,-0.036867475,-0.335590568,0.270366022,-0.371937097,0.091782136,-0.417772587,-0.312639126,0.39932395,-0.270417794,-0.435416388,-0.167639997,-0.176409311,0.170001516,-0.380860046,0.207382793,-0.254664828,-0.411229701
-0.071507784,0.33489332,-0.328062325,-0.492420781,0.165094322,-0.292450202,0.104518472,-0.326458623,-0.341344746,-0.205864818,0.272387333,0.023083762,-0.332395608,0.106764211,-0.228255371,0.129742483,-0.374173054,-0.298530759,0.298769025,-0.387766341,-0.334842605,-0.120334796,-0.251615146,0.227000026,-0.393061971,0.098738501,-0.226277663,-0.460186234
-0.317243714,0.346906545,-0.210688677,-0.437067373,0.13055866,-0.242552567,0,-0.173953558,-0.191462461,-0.160791127,0.148284892,-0.202113119,-0.237038303,0.038632582,-0.195071942,-0.093180387,-0.260113176,-0.245494954,0.190969087,-0.438155126,-0.290565135,-0.269548221,-0.213929718,0.166732158,-0.328761738,-0.009137648,-0.182770475,-0.449238192
-0.28728205,0.32201644,-0.186598462,-0.086303019,0.118227887,-0.188227001,0.054852539,-0.185497421,-0.266470549,-0.080584058,0.105712839,-0.115790845,-0.17442815,-0.094695422,-0.126009734,-0.104891234,-0.154030997,-0.191219826,0.124101187,-0.353908383,-0.242342952,-0.283994906,-0.252100495,0.046181527,-0.23555293,0.033361769,-0.170584402,-0.345294171
-0.142029886,0.272175881,-0.104916621,-0.142177667,0.045310209,-0.183482591,0.202156246,-0.167835793,-0.175281858,-0.022181297,0.028157933,0.25271557,-0.089894161,-0.180728724,-0.087339319,0.112074475,-0.045494347,-0.186363478,0.124225379,-0.230041912,-0.147503331,-0.083739319,-0.25807155,-0.079939368,-0.243590818,0.201133061,-0.099139749,-0.283558104
-0.103189789,0.224057111,-0.037559803,-0.016390275,-0.044116814,-0.21249464,0.305675216,-0.0527175,-0.107468566,0.074061471,-0.068692944,0.281649985,-0.025955523,-0.267098041,-0.020592632,0.406249294,-0.004638759,-0.211924962,0.225125531,-0.052015986,-0.089899301,0.223624256,-0.210908939,-0.078829719,-0.213473979,0.335989616,-0.028276536,-0.222051541
0.017045124,0.184912831,0.03352467,0.051517564,-0.354326761,-0.143042296,0.13055866,0.012035225,-0.072137292,0.265116172,-0.343690126,0.259551663,0.042390211,-0.364382297,-0.024228146,0.055156425,0.037346125,-0.142304491,0.2400089,-0.067904576,-0.085140407,0.065218798,-0.154256516,-0.123736935,-0.169664651,0.158501063,0.080681163,-0.197233766
